galaxy,r_kpc,v_obs_kms,mass_msun,rd_kpc
NGC2903,22.08,178.00,232541897.7063002,3.0
NGC2903,23.04,177.00,232541897.7063002,3.0
NGC2903,24.00,182.00,232541897.7063002,3.0
NGC2903,24.96,180.00,232541897.7063002,3.0
NGC2915,0.34,13.50,455039.4232692101,3.0
NGC2915,0.67,31.30,455039.4232692101,3.0
NGC2915,1.00,35.30,455039.4232692101,3.0
NGC2915,1.34,50.50,455039.4232692101,3.0
NGC2915,1.68,61.00,455039.4232692101,3.0
NGC2915,2.01,66.50,455039.4232692101,3.0
NGC2915,2.34,74.40,455039.4232692101,3.0
NGC2915,2.67,83.00,455039.4232692101,3.0
NGC2915,3.01,86.40,455039.4232692101,3.0
NGC2915,3.35,83.60,455039.4232692101,3.0
NGC2915,3.68,79.80,455039.4232692101,3.0
NGC2915,4.02,82.80,455039.4232692101,3.0
NGC2915,4.35,83.50,455039.4232692101,3.0
NGC2915,4.68,80.40,455039.4232692101,3.0
NGC2915,5.02,80.30,455039.4232692101,3.0
NGC2915,5.35,82.10,455039.4232692101,3.0
NGC2915,5.69,82.40,455039.4232692101,3.0
NGC2915,6.03,80.90,455039.4232692101,3.0
NGC2915,6.36,79.00,455039.4232692101,3.0
NGC2915,6.69,81.40,455039.4232692101,3.0
NGC2915,7.02,79.70,455039.4232692101,3.0
NGC2915,7.36,77.50,455039.4232692101,3.0
NGC2915,7.70,79.90,455039.4232692101,3.0
NGC2915,8.03,81.50,455039.4232692101,3.0
NGC2915,8.37,82.20,455039.4232692101,3.0
NGC2915,8.70,82.00,455039.4232692101,3.0
NGC2915,9.03,84.70,455039.4232692101,3.0
NGC2915,9.37,86.10,455039.4232692101,3.0
NGC2915,9.70,85.30,455039.4232692101,3.0
NGC2915,10.04,86.50,455039.4232692101,3.0
NGC2955,0.75,169.00,2101049096.3562448,3.0
NGC2955,1.55,203.00,2101049096.3562448,3.0
NGC2955,2.30,232.00,2101049096.3562448,3.0
NGC2955,3.06,256.00,2101049096.3562448,3.0
NGC2955,3.85,248.00,2101049096.3562448,3.0
NGC2955,4.61,253.00,2101049096.3562448,3.0
NGC2955,5.36,269.00,2101049096.3562448,3.0
NGC2955,6.12,268.00,2101049096.3562448,3.0
NGC2955,6.91,260.00,2101049096.3562448,3.0
NGC2955,7.66,245.00,2101049096.3562448,3.0
NGC2955,8.42,247.00,2101049096.3562448,3.0
NGC2955,8.86,267.00,2101049096.3562448,3.0
NGC2955,9.21,255.00,2101049096.3562448,3.0
NGC2955,10.82,253.00,2101049096.3562448,3.0
NGC2955,11.56,271.00,2101049096.3562448,3.0
NGC2955,12.40,276.00,2101049096.3562448,3.0
NGC2955,14.17,275.00,2101049096.3562448,3.0
NGC2955,16.88,275.00,2101049096.3562448,3.0
NGC2955,19.49,276.00,2101049096.3562448,3.0
NGC2955,22.19,267.00,2101049096.3562448,3.0
NGC2955,24.80,257.00,2101049096.3562448,3.0
NGC2955,27.51,254.00,2101049096.3562448,3.0
NGC2955,30.12,248.00,2101049096.3562448,3.0
NGC2955,35.43,227.00,2101049096.3562448,3.0
NGC2976,0.11,6.80,39902190.90848762,3.0
NGC2976,0.17,9.50,39902190.90848762,3.0
NGC2976,0.24,14.00,39902190.90848762,3.0
NGC2976,0.31,19.80,39902190.90848762,3.0
NGC2976,0.38,26.10,39902190.90848762,3.0
NGC2976,0.45,28.70,39902190.90848762,3.0
NGC2976,0.52,28.70,39902190.90848762,3.0
NGC2976,0.59,31.70,39902190.90848762,3.0
NGC2976,0.66,35.50,39902190.90848762,3.0
NGC2976,0.73,39.40,39902190.90848762,3.0
NGC2976,0.80,42.90,39902190.90848762,3.0
NGC2976,0.87,46.00,39902190.90848762,3.0
NGC2976,0.94,49.10,39902190.90848762,3.0
NGC2976,1.01,49.20,39902190.90848762,3.0
NGC2976,1.08,51.40,39902190.90848762,3.0
NGC2976,1.14,57.20,39902190.90848762,3.0
NGC2976,1.21,63.80,39902190.90848762,3.0
NGC2976,1.29,67.80,39902190.90848762,3.0
NGC2976,1.35,69.80,39902190.90848762,3.0
NGC2976,1.42,71.70,39902190.90848762,3.0
NGC2976,1.49,74.10,39902190.90848762,3.0
NGC2976,1.56,76.70,39902190.90848762,3.0
NGC2976,1.63,79.90,39902190.90848762,3.0
NGC2976,1.74,83.60,39902190.90848762,3.0
NGC2976,1.93,83.90,39902190.90848762,3.0
NGC2976,2.10,88.70,39902190.90848762,3.0
NGC2976,2.27,85.30,39902190.90848762,3.0
NGC2998,0.33,90.00,444085848.4156804,3.0
NGC2998,0.99,125.00,444085848.4156804,3.0
NGC2998,1.98,148.00,444085848.4156804,3.0
NGC2998,2.64,180.00,444085848.4156804,3.0
NGC2998,3.63,201.00,444085848.4156804,3.0
NGC2998,7.59,206.00,444085848.4156804,3.0
NGC2998,12.50,214.00,444085848.4156804,3.0
NGC2998,17.48,212.00,444085848.4156804,3.0
NGC2998,22.46,213.00,444085848.4156804,3.0
NGC2998,27.44,214.00,444085848.4156804,3.0
NGC2998,32.32,213.00,444085848.4156804,3.0
NGC2998,37.30,213.00,444085848.4156804,3.0
NGC2998,42.28,203.00,444085848.4156804,3.0
NGC3109,0.26,6.10,287309.4001562501,3.0
NGC3109,0.52,11.20,287309.4001562501,3.0
NGC3109,0.77,14.90,287309.4001562501,3.0
NGC3109,1.03,19.10,287309.4001562501,3.0
NGC3109,1.29,24.30,287309.4001562501,3.0
NGC3109,1.55,29.80,287309.4001562501,3.0
NGC3109,1.81,34.30,287309.4001562501,3.0
NGC3109,2.06,38.20,287309.4001562501,3.0
NGC3109,2.32,42.50,287309.4001562501,3.0
NGC3109,2.58,42.30,287309.4001562501,3.0
NGC3109,2.84,47.30,287309.4001562501,3.0
NGC3109,3.10,49.30,287309.4001562501,3.0
NGC3109,3.35,50.60,287309.4001562501,3.0
NGC3109,3.61,53.00,287309.4001562501,3.0
NGC3109,3.87,54.70,287309.4001562501,3.0
NGC3109,4.13,55.20,287309.4001562501,3.0
NGC3109,4.38,57.50,287309.4001562501,3.0
NGC3109,4.64,59.10,287309.4001562501,3.0
NGC3109,4.90,61.20,287309.4001562501,3.0
NGC3109,5.16,62.70,287309.4001562501,3.0
NGC3109,5.42,64.40,287309.4001562501,3.0
NGC3109,5.67,66.60,287309.4001562501,3.0
NGC3109,5.93,66.30,287309.4001562501,3.0
NGC3109,6.19,66.20,287309.4001562501,3.0
NGC3109,6.45,67.30,287309.4001562501,3.0
NGC3198,0.32,24.40,37050625.52100626,3.0
NGC3198,0.64,43.30,37050625.52100626,3.0
NGC3198,0.96,45.50,37050625.52100626,3.0
NGC3198,1.28,58.50,37050625.52100626,3.0
NGC3198,1.61,68.80,37050625.52100626,3.0
NGC3198,1.93,76.90,37050625.52100626,3.0
NGC3198,2.24,82.00,37050625.52100626,3.0
NGC3198,2.57,86.90,37050625.52100626,3.0
NGC3198,2.89,97.60,37050625.52100626,3.0
NGC3198,3.21,100.00,37050625.52100626,3.0
NGC3198,3.54,107.00,37050625.52100626,3.0
NGC3198,3.85,113.00,37050625.52100626,3.0
NGC3198,4.17,117.00,37050625.52100626,3.0
NGC3198,4.50,119.00,37050625.52100626,3.0
NGC3198,4.82,127.00,37050625.52100626,3.0
NGC3198,5.15,132.00,37050625.52100626,3.0
NGC3198,5.46,134.00,37050625.52100626,3.0
NGC3198,5.78,137.00,37050625.52100626,3.0
NGC3198,6.10,140.00,37050625.52100626,3.0
NGC3198,6.43,142.00,37050625.52100626,3.0
NGC3198,6.74,144.00,37050625.52100626,3.0
NGC3198,7.06,146.00,37050625.52100626,3.0
NGC3198,8.04,147.00,37050625.52100626,3.0
NGC3198,9.04,148.00,37050625.52100626,3.0
NGC3198,10.04,152.00,37050625.52100626,3.0
NGC3198,11.04,155.00,37050625.52100626,3.0
NGC3198,12.05,156.00,37050625.52100626,3.0
NGC3198,14.05,157.00,37050625.52100626,3.0
NGC3198,16.07,153.00,37050625.52100626,3.0
NGC3198,18.13,153.00,37050625.52100626,3.0
NGC3198,20.05,154.00,37050625.52100626,3.0
NGC3198,22.12,153.00,37050625.52100626,3.0
NGC3198,24.03,150.00,37050625.52100626,3.0
NGC3198,26.10,149.00,37050625.52100626,3.0
NGC3198,28.16,148.00,37050625.52100626,3.0
NGC3198,30.08,146.00,37050625.52100626,3.0
NGC3198,32.14,147.00,37050625.52100626,3.0
NGC3198,34.06,148.00,37050625.52100626,3.0
NGC3198,36.12,148.00,37050625.52100626,3.0
NGC3198,38.19,149.00,37050625.52100626,3.0
NGC3198,40.10,150.00,37050625.52100626,3.0
NGC3198,42.17,150.00,37050625.52100626,3.0
NGC3198,44.08,149.00,37050625.52100626,3.0
NGC3521,0.51,143.00,552449171.0547112,3.0
NGC3521,0.69,160.00,552449171.0547112,3.0
NGC3521,0.86,178.00,552449171.0547112,3.0
NGC3521,1.03,188.00,552449171.0547112,3.0
NGC3521,1.20,187.00,552449171.0547112,3.0
NGC3521,1.38,195.00,552449171.0547112,3.0
NGC3521,1.55,199.00,552449171.0547112,3.0
NGC3521,1.71,203.00,552449171.0547112,3.0
NGC3521,1.89,206.00,552449171.0547112,3.0
NGC3521,2.06,211.00,552449171.0547112,3.0
NGC3521,2.23,219.00,552449171.0547112,3.0
NGC3521,2.41,216.00,552449171.0547112,3.0
NGC3521,2.58,214.00,552449171.0547112,3.0
NGC3521,2.75,213.00,552449171.0547112,3.0
NGC3521,2.92,210.00,552449171.0547112,3.0
NGC3521,3.09,214.00,552449171.0547112,3.0
NGC3521,3.26,213.00,552449171.0547112,3.0
NGC3521,3.43,212.00,552449171.0547112,3.0
NGC3521,3.61,215.00,552449171.0547112,3.0
NGC3521,3.78,217.00,552449171.0547112,3.0
NGC3521,3.95,219.00,552449171.0547112,3.0
NGC3521,4.12,220.00,552449171.0547112,3.0
NGC3521,4.29,218.00,552449171.0547112,3.0
NGC3521,4.46,220.00,552449171.0547112,3.0
NGC3521,4.64,220.00,552449171.0547112,3.0
NGC3521,4.81,216.00,552449171.0547112,3.0
NGC3521,4.98,220.00,552449171.0547112,3.0
NGC3521,5.15,218.00,552449171.0547112,3.0
NGC3521,5.32,213.00,552449171.0547112,3.0
NGC3521,5.49,215.00,552449171.0547112,3.0
NGC3521,5.67,216.00,552449171.0547112,3.0
NGC3521,5.84,208.00,552449171.0547112,3.0
NGC3521,6.01,212.00,552449171.0547112,3.0
NGC3521,6.19,213.00,552449171.0547112,3.0
NGC3521,6.35,216.00,552449171.0547112,3.0
NGC3521,6.64,210.00,552449171.0547112,3.0
NGC3521,8.82,210.00,552449171.0547112,3.0
NGC3521,11.07,210.00,552449171.0547112,3.0
NGC3521,13.32,206.00,552449171.0547112,3.0
NGC3521,15.49,206.00,552449171.0547112,3.0
NGC3521,17.74,206.00,552449171.0547112,3.0
NGC3726,3.50,102.00,130599206.85600102,3.0
NGC3726,5.24,125.00,130599206.85600102,3.0
NGC3726,6.98,145.00,130599206.85600102,3.0
NGC3726,8.72,164.00,130599206.85600102,3.0
NGC3726,10.47,162.00,130599206.85600102,3.0
NGC3726,12.19,160.00,130599206.85600102,3.0
NGC3726,13.94,156.00,130599206.85600102,3.0
NGC3726,16.03,146.00,130599206.85600102,3.0
NGC3726,22.30,158.00,130599206.85600102,3.0
NGC3726,27.52,168.00,130599206.85600102,3.0
NGC3726,30.08,169.00,130599206.85600102,3.0
NGC3726,32.52,167.00,130599206.85600102,3.0
NGC3741,0.23,13.10,38062.137063040005,3.0
NGC3741,0.47,17.30,38062.137063040005,3.0
NGC3741,0.70,23.60,38062.137063040005,3.0
NGC3741,0.93,26.20,38062.137063040005,3.0
NGC3741,1.17,27.40,38062.137063040005,3.0
NGC3741,1.40,26.90,38062.137063040005,3.0
NGC3741,1.64,27.40,38062.137063040005,3.0
NGC3741,1.87,31.00,38062.137063040005,3.0
NGC3741,2.10,32.50,38062.137063040005,3.0
NGC3741,2.33,33.00,38062.137063040005,3.0
NGC3741,2.57,36.50,38062.137063040005,3.0
NGC3741,2.80,38.90,38062.137063040005,3.0
NGC3741,3.26,41.50,38062.137063040005,3.0
NGC3741,3.73,42.70,38062.137063040005,3.0
NGC3741,4.21,44.70,38062.137063040005,3.0
NGC3741,4.67,46.70,38062.137063040005,3.0
NGC3741,5.14,48.50,38062.137063040005,3.0
NGC3741,5.61,50.00,38062.137063040005,3.0
NGC3741,6.07,50.20,38062.137063040005,3.0
NGC3741,6.54,50.10,38062.137063040005,3.0
NGC3741,7.00,51.60,38062.137063040005,3.0
NGC3769,1.74,87.50,10126571.225310758,3.0
NGC3769,3.50,106.00,10126571.225310758,3.0
NGC3769,5.24,116.00,10126571.225310758,3.0
NGC3769,6.98,125.00,10126571.225310758,3.0
NGC3769,8.72,126.00,10126571.225310758,3.0
NGC3769,10.47,123.00,10126571.225310758,3.0
NGC3769,12.31,118.00,10126571.225310758,3.0
NGC3769,14.52,115.00,10126571.225310758,3.0
NGC3769,17.07,122.00,10126571.225310758,3.0
NGC3769,31.82,121.00,10126571.225310758,3.0
NGC3769,34.61,118.00,10126571.225310758,3.0
NGC3769,37.16,113.00,10126571.225310758,3.0
NGC3877,0.87,37.80,1363229719.8230927,3.0
NGC3877,1.74,80.10,1363229719.8230927,3.0
NGC3877,2.61,121.00,1363229719.8230927,3.0
NGC3877,3.50,142.00,1363229719.8230927,3.0
NGC3877,4.37,153.00,1363229719.8230927,3.0
NGC3877,5.24,160.00,1363229719.8230927,3.0
NGC3877,6.11,162.00,1363229719.8230927,3.0
NGC3877,6.98,167.00,1363229719.8230927,3.0
NGC3877,7.85,169.00,1363229719.8230927,3.0
NGC3877,8.72,171.00,1363229719.8230927,3.0
NGC3877,9.60,171.00,1363229719.8230927,3.0
NGC3877,10.47,170.00,1363229719.8230927,3.0
NGC3877,11.35,169.00,1363229719.8230927,3.0
NGC3893,1.74,145.00,262881801.019626,3.0
NGC3893,3.50,174.00,262881801.019626,3.0
NGC3893,5.24,194.00,262881801.019626,3.0
NGC3893,6.98,190.00,262881801.019626,3.0
NGC3893,8.81,186.00,262881801.019626,3.0
NGC3893,10.90,188.00,262881801.019626,3.0
NGC3893,13.12,187.00,262881801.019626,3.0
NGC3893,15.33,179.00,262881801.019626,3.0
NGC3893,17.30,176.00,262881801.019626,3.0
NGC3893,19.05,167.00,262881801.019626,3.0
NGC3917,0.87,24.30,77821129.39201222,3.0
NGC3917,1.74,49.60,77821129.39201222,3.0
NGC3917,2.61,73.60,77821129.39201222,3.0
NGC3917,3.50,101.00,77821129.39201222,3.0
NGC3917,4.37,107.00,77821129.39201222,3.0
NGC3917,5.24,115.00,77821129.39201222,3.0
NGC3917,6.11,123.00,77821129.39201222,3.0
NGC3917,6.98,130.00,77821129.39201222,3.0
NGC3917,7.85,134.00,77821129.39201222,3.0
NGC3917,8.72,136.00,77821129.39201222,3.0
NGC3917,9.60,137.00,77821129.39201222,3.0
NGC3917,10.47,136.00,77821129.39201222,3.0
NGC3917,11.35,137.00,77821129.39201222,3.0
NGC3917,12.19,137.00,77821129.39201222,3.0
NGC3917,13.12,137.00,77821129.39201222,3.0
NGC3917,13.94,138.00,77821129.39201222,3.0
NGC3917,14.86,137.00,77821129.39201222,3.0
NGC3949,1.74,123.00,689921672.9028718,3.0
NGC3949,2.61,145.00,689921672.9028718,3.0
NGC3949,3.50,152.00,689921672.9028718,3.0
NGC3949,4.37,157.00,689921672.9028718,3.0
NGC3949,5.24,161.00,689921672.9028718,3.0
NGC3949,6.11,165.00,689921672.9028718,3.0
NGC3949,7.07,169.00,689921672.9028718,3.0
NGC3953,3.50,181.00,2426763127.1375937,3.0
NGC3953,5.24,203.00,2426763127.1375937,3.0
NGC3953,6.98,216.00,2426763127.1375937,3.0
NGC3953,8.72,223.00,2426763127.1375937,3.0
NGC3953,10.47,224.00,2426763127.1375937,3.0
NGC3953,12.19,223.00,2426763127.1375937,3.0
NGC3953,13.94,224.00,2426763127.1375937,3.0
NGC3953,15.68,215.00,2426763127.1375937,3.0
NGC3972,0.87,39.60,89185603.97896898,3.0
NGC3972,1.74,73.00,89185603.97896898,3.0
NGC3972,2.61,89.40,89185603.97896898,3.0
NGC3972,3.50,102.00,89185603.97896898,3.0
NGC3972,4.37,110.00,89185603.97896898,3.0
NGC3972,5.24,116.00,89185603.97896898,3.0
NGC3972,6.11,123.00,89185603.97896898,3.0
NGC3972,6.98,130.00,89185603.97896898,3.0
NGC3972,7.85,134.00,89185603.97896898,3.0
NGC3972,8.72,134.00,89185603.97896898,3.0
NGC3992,9.19,248.00,618391611.2853606,3.0
NGC3992,13.79,264.00,618391611.2853606,3.0
NGC3992,18.35,272.00,618391611.2853606,3.0
NGC3992,22.94,271.00,618391611.2853606,3.0
NGC3992,27.52,264.00,618391611.2853606,3.0
NGC3992,32.11,242.00,618391611.2853606,3.0
NGC3992,36.70,244.00,618391611.2853606,3.0
NGC3992,41.44,241.00,618391611.2853606,3.0
NGC3992,46.02,237.00,618391611.2853606,3.0
NGC4010,0.87,39.30,86069432.69073771,3.0
NGC4010,1.74,54.60,86069432.69073771,3.0
NGC4010,2.61,65.50,86069432.69073771,3.0
NGC4010,3.50,83.90,86069432.69073771,3.0
NGC4010,4.37,94.30,86069432.69073771,3.0
NGC4010,5.24,104.00,86069432.69073771,3.0
NGC4010,6.11,115.00,86069432.69073771,3.0
NGC4010,6.98,127.00,86069432.69073771,3.0
NGC4010,7.85,129.00,86069432.69073771,3.0
NGC4010,8.72,127.00,86069432.69073771,3.0
NGC4010,9.60,124.00,86069432.69073771,3.0
NGC4010,10.47,122.00,86069432.69073771,3.0
NGC4013,5.49,198.00,141144003.9553776,3.0
NGC4013,6.17,195.00,141144003.9553776,3.0
NGC4013,6.92,194.00,141144003.9553776,3.0
NGC4013,7.69,195.00,141144003.9553776,3.0
NGC4013,8.36,195.00,141144003.9553776,3.0
NGC4013,9.12,195.00,141144003.9553776,3.0
NGC4013,9.88,192.00,141144003.9553776,3.0
NGC4013,10.56,188.00,141144003.9553776,3.0
NGC4013,11.31,186.00,141144003.9553776,3.0
NGC4013,12.08,186.00,141144003.9553776,3.0
NGC4013,12.77,186.00,141144003.9553776,3.0
NGC4013,13.47,185.00,141144003.9553776,3.0
NGC4013,14.17,180.00,141144003.9553776,3.0
NGC4013,14.98,163.00,141144003.9553776,3.0
NGC4013,15.68,162.00,141144003.9553776,3.0
NGC4013,16.37,164.00,141144003.9553776,3.0
NGC4013,17.19,166.00,141144003.9553776,3.0
NGC4013,17.88,166.00,141144003.9553776,3.0
NGC4013,18.58,166.00,141144003.9553776,3.0
NGC4013,19.39,166.00,141144003.9553776,3.0
NGC4013,20.09,168.00,141144003.9553776,3.0
NGC4013,20.79,172.00,141144003.9553776,3.0
NGC4013,21.48,173.00,141144003.9553776,3.0
NGC4013,22.30,171.00,141144003.9553776,3.0
NGC4013,22.99,170.00,141144003.9553776,3.0
NGC4013,23.69,172.00,141144003.9553776,3.0
NGC4013,24.39,173.00,141144003.9553776,3.0
NGC4013,25.20,176.00,141144003.9553776,3.0
NGC4013,25.90,178.00,141144003.9553776,3.0
NGC4013,26.59,180.00,141144003.9553776,3.0
NGC4013,27.41,180.00,141144003.9553776,3.0
NGC4013,28.10,180.00,141144003.9553776,3.0
NGC4013,28.80,180.00,141144003.9553776,3.0
NGC4013,29.61,178.00,141144003.9553776,3.0
NGC4013,30.31,174.00,141144003.9553776,3.0
NGC4013,31.01,170.00,141144003.9553776,3.0
NGC4051,1.74,121.00,907404346.6614093,3.0
NGC4051,3.50,116.00,907404346.6614093,3.0
NGC4051,5.24,140.00,907404346.6614093,3.0
NGC4051,6.98,160.00,907404346.6614093,3.0
NGC4051,8.72,161.00,907404346.6614093,3.0
NGC4051,10.47,154.00,907404346.6614093,3.0
NGC4051,12.19,153.00,907404346.6614093,3.0
NGC4068,0.21,4.68,820168.7760448897,3.0
NGC4068,0.64,13.10,820168.7760448897,3.0
NGC4068,1.06,22.50,820168.7760448897,3.0
NGC4068,1.48,30.40,820168.7760448897,3.0
NGC4068,1.91,36.00,820168.7760448897,3.0
NGC4068,2.33,41.90,820168.7760448897,3.0
NGC4085,0.87,42.20,399620314.1436314,3.0
NGC4085,1.74,79.90,399620314.1436314,3.0
NGC4085,2.71,112.00,399620314.1436314,3.0
NGC4085,3.58,127.00,399620314.1436314,3.0
NGC4085,4.45,130.00,399620314.1436314,3.0
NGC4085,5.32,133.00,399620314.1436314,3.0
NGC4085,6.20,136.00,399620314.1436314,3.0
NGC4088,1.74,84.90,663577703.0400038,3.0
NGC4088,3.50,136.00,663577703.0400038,3.0
NGC4088,5.24,162.00,663577703.0400038,3.0
NGC4088,6.98,179.00,663577703.0400038,3.0
NGC4088,8.72,182.00,663577703.0400038,3.0
NGC4088,10.47,179.00,663577703.0400038,3.0
NGC4088,12.19,174.00,663577703.0400038,3.0
NGC4088,13.94,171.00,663577703.0400038,3.0
NGC4088,15.68,168.00,663577703.0400038,3.0
NGC4088,17.42,165.00,663577703.0400038,3.0
NGC4088,19.28,171.00,663577703.0400038,3.0
NGC4088,21.48,174.00,663577703.0400038,3.0
NGC4100,2.61,120.00,170180504.355625,3.0
NGC4100,3.50,148.00,170180504.355625,3.0
NGC4100,4.37,168.00,170180504.355625,3.0
NGC4100,5.24,182.00,170180504.355625,3.0
NGC4100,6.11,190.00,170180504.355625,3.0
NGC4100,6.98,194.00,170180504.355625,3.0
NGC4100,7.85,195.00,170180504.355625,3.0
NGC4100,8.72,193.00,170180504.355625,3.0
NGC4100,9.60,192.00,170180504.355625,3.0
NGC4100,10.47,192.00,170180504.355625,3.0
NGC4100,11.35,191.00,170180504.355625,3.0
NGC4100,12.19,189.00,170180504.355625,3.0
NGC4100,13.12,185.00,170180504.355625,3.0
NGC4100,13.94,182.00,170180504.355625,3.0
NGC4100,14.86,179.00,170180504.355625,3.0
NGC4100,15.68,176.00,170180504.355625,3.0
NGC4100,16.61,174.00,170180504.355625,3.0
NGC4100,17.42,178.00,170180504.355625,3.0
NGC4100,18.35,177.00,170180504.355625,3.0
NGC4100,19.16,169.00,170180504.355625,3.0
NGC4100,20.09,158.00,170180504.355625,3.0
NGC4100,21.02,158.00,170180504.355625,3.0
NGC4100,21.95,158.00,170180504.355625,3.0
NGC4100,22.76,159.00,170180504.355625,3.0
NGC4138,2.61,179.00,121806588.12104486,3.0
NGC4138,5.24,195.00,121806588.12104486,3.0
NGC4138,7.85,181.00,121806588.12104486,3.0
NGC4138,10.65,162.00,121806588.12104486,3.0
NGC4138,13.47,145.00,121806588.12104486,3.0
NGC4138,16.03,147.00,121806588.12104486,3.0
NGC4138,18.58,150.00,121806588.12104486,3.0
NGC4157,1.74,96.40,313631607.4903974,3.0
NGC4157,3.50,157.00,313631607.4903974,3.0
NGC4157,5.24,192.00,313631607.4903974,3.0
NGC4157,6.98,201.00,313631607.4903974,3.0
NGC4157,8.72,201.00,313631607.4903974,3.0
NGC4157,10.47,194.00,313631607.4903974,3.0
NGC4157,12.19,190.00,313631607.4903974,3.0
NGC4157,13.94,186.00,313631607.4903974,3.0
NGC4157,15.68,184.00,313631607.4903974,3.0
NGC4157,17.42,182.00,313631607.4903974,3.0
NGC4157,19.16,181.00,313631607.4903974,3.0
NGC4157,20.90,183.00,313631607.4903974,3.0
NGC4157,22.65,185.00,313631607.4903974,3.0
NGC4157,24.39,186.00,313631607.4903974,3.0
NGC4157,26.13,186.00,313631607.4903974,3.0
NGC4157,27.87,184.00,313631607.4903974,3.0
NGC4157,29.61,185.00,313631607.4903974,3.0
NGC4183,0.87,47.10,13962474.005632358,3.0
NGC4183,1.74,65.90,13962474.005632358,3.0
NGC4183,2.61,76.10,13962474.005632358,3.0
NGC4183,3.50,85.70,13962474.005632358,3.0
NGC4183,4.37,96.60,13962474.005632358,3.0
NGC4183,5.24,99.30,13962474.005632358,3.0
NGC4183,6.11,103.00,13962474.005632358,3.0
NGC4183,6.98,107.00,13962474.005632358,3.0
NGC4183,7.85,111.00,13962474.005632358,3.0
NGC4183,8.72,114.00,13962474.005632358,3.0
NGC4183,9.60,115.00,13962474.005632358,3.0
NGC4183,10.47,111.00,13962474.005632358,3.0
NGC4183,11.35,110.00,13962474.005632358,3.0
NGC4183,12.31,111.00,13962474.005632358,3.0
NGC4183,13.12,109.00,13962474.005632358,3.0
NGC4183,14.05,108.00,13962474.005632358,3.0
NGC4183,14.98,109.00,13962474.005632358,3.0
NGC4183,16.03,111.00,13962474.005632358,3.0
NGC4183,16.95,110.00,13962474.005632358,3.0
NGC4183,17.88,109.00,13962474.005632358,3.0
NGC4183,18.93,110.00,13962474.005632358,3.0
NGC4183,19.97,112.00,13962474.005632358,3.0
NGC4183,21.02,113.00,13962474.005632358,3.0
NGC4214,0.21,55.50,1226820.5137324906,3.0
NGC4214,0.63,63.20,1226820.5137324906,3.0
NGC4214,1.04,66.60,1226820.5137324906,3.0
NGC4214,1.46,70.50,1226820.5137324906,3.0
NGC4214,1.88,76.10,1226820.5137324906,3.0
NGC4214,2.30,78.80,1226820.5137324906,3.0
NGC4214,2.71,80.10,1226820.5137324906,3.0
NGC4214,3.14,80.10,1226820.5137324906,3.0
NGC4214,3.55,80.10,1226820.5137324906,3.0
NGC4214,3.96,80.40,1226820.5137324906,3.0
NGC4214,4.38,80.10,1226820.5137324906,3.0
NGC4214,4.80,80.40,1226820.5137324906,3.0
NGC4214,5.22,80.60,1226820.5137324906,3.0
NGC4214,5.63,80.60,1226820.5137324906,3.0
NGC4217,0.87,47.80,557556928.3355638,3.0
NGC4217,1.74,98.90,557556928.3355638,3.0
NGC4217,2.61,146.00,557556928.3355638,3.0
NGC4217,3.50,164.00,557556928.3355638,3.0
NGC4217,4.37,174.00,557556928.3355638,3.0
NGC4217,5.24,175.00,557556928.3355638,3.0
NGC4217,6.11,184.00,557556928.3355638,3.0
NGC4217,6.98,185.00,557556928.3355638,3.0
NGC4217,7.85,188.00,557556928.3355638,3.0
NGC4217,8.72,190.00,557556928.3355638,3.0
NGC4217,9.60,191.00,557556928.3355638,3.0
NGC4217,10.47,191.00,557556928.3355638,3.0
NGC4217,11.35,189.00,557556928.3355638,3.0
NGC4217,12.19,186.00,557556928.3355638,3.0
NGC4217,13.12,183.00,557556928.3355638,3.0
NGC4217,13.94,179.00,557556928.3355638,3.0
NGC4217,14.86,177.00,557556928.3355638,3.0
NGC4217,15.79,177.00,557556928.3355638,3.0
NGC4217,16.72,178.00,557556928.3355638,3.0
NGC4389,0.87,27.30,406037733.542884,3.0
NGC4389,1.74,52.70,406037733.542884,3.0
NGC4389,2.71,69.20,406037733.542884,3.0
NGC4389,3.58,83.50,406037733.542884,3.0
NGC4389,4.45,95.90,406037733.542884,3.0
NGC4389,5.32,110.00,406037733.542884,3.0
NGC4559,0.67,43.80,47770387.35015626,3.0
NGC4559,1.32,64.20,47770387.35015626,3.0
NGC4559,1.97,73.30,47770387.35015626,3.0
NGC4559,2.62,84.20,47770387.35015626,3.0
NGC4559,3.28,96.20,47770387.35015626,3.0
NGC4559,3.93,102.00,47770387.35015626,3.0
NGC4559,4.58,104.00,47770387.35015626,3.0
NGC4559,5.22,106.00,47770387.35015626,3.0
NGC4559,5.90,106.00,47770387.35015626,3.0
NGC4559,6.54,108.00,47770387.35015626,3.0
NGC4559,7.19,111.00,47770387.35015626,3.0
NGC4559,7.87,114.00,47770387.35015626,3.0
NGC4559,8.51,116.00,47770387.35015626,3.0
NGC4559,9.16,117.00,47770387.35015626,3.0
NGC4559,9.84,118.00,47770387.35015626,3.0
NGC4559,10.48,120.00,47770387.35015626,3.0
NGC4559,11.13,121.00,47770387.35015626,3.0
NGC4559,11.78,122.00,47770387.35015626,3.0
NGC4559,12.43,122.00,47770387.35015626,3.0
NGC4559,13.08,122.00,47770387.35015626,3.0
